player,name,cluster
/max-kilman/profil/spieler/525247,Max Kilman,3
/nathan-collins/profil/spieler/469050,Nathan Collins,3
/craig-dawson/profil/spieler/121477,Craig Dawson,4
/toti/profil/spieler/606718,Toti,0
/rayan-ait-nouri/profil/spieler/578391,Rayan Aït-Nouri,3
/jonny-otto/profil/spieler/175446,Jonny Otto,3
/hugo-bueno/profil/spieler/698678,Hugo Bueno,0
/nelson-semedo/profil/spieler/231572,Nélson Semedo,3
/ruben-neves/profil/spieler/225161,Rúben Neves,2
/mario-lemina/profil/spieler/170934,Mario Lemina,4
/boubacar-traore/profil/spieler/649020,Boubacar Traoré,4
/joe-hodge/profil/spieler/503975,Joe Hodge,0
/matheus-nunes/profil/spieler/601883,Matheus Nunes,2
/joao-gomes/profil/spieler/735570,João Gomes,3
/joao-moutinho/profil/spieler/29364,João Moutinho,3
/daniel-podence/profil/spieler/256977,Daniel Podence,3
/chiquinho/profil/spieler/695454,Chiquinho,0
/pedro-neto/profil/spieler/487465,Pedro Neto,2
/pablo-sarabia/profil/spieler/74230,Pablo Sarabia,3
/adama-traore/profil/spieler/204103,Adama Traoré,3
/matheus-cunha/profil/spieler/517894,Matheus Cunha,3
/sasa-kalajdzic/profil/spieler/369567,Sasa Kalajdzic,3
/hee-chan-hwang/profil/spieler/292246,Hee-chan Hwang,4
/raul-jimenez/profil/spieler/206040,Raúl Jiménez,2
/diego-costa/profil/spieler/44779,Diego Costa,2
/gavin-bazunu/profil/spieler/585550,Gavin Bazunu,3
/alex-mccarthy/profil/spieler/95976,Alex McCarthy,4
/willy-caballero/profil/spieler/19948,Willy Caballero,0
/armel-bella-kotchap/profil/spieler/467563,Armel Bella-Kotchap,3
/mohammed-salisu/profil/spieler/563963,Mohammed Salisu,3
/duje-caleta-car/profil/spieler/238266,Duje Caleta-Car,3
/jan-bednarek/profil/spieler/243028,Jan Bednarek,3
/lyanco/profil/spieler/379807,Lyanco,4
/romain-perraud/profil/spieler/318523,Romain Perraud,4
/juan-larios/profil/spieler/646738,Juan Larios,4
/kyle-walker-peters/profil/spieler/341051,Kyle Walker-Peters,3
/tino-livramento/profil/spieler/503981,Tino Livramento,3
/james-bree/profil/spieler/324223,James Bree,0
/romeo-lavia/profil/spieler/628451,Roméo Lavia,3
/ibrahima-diallo/profil/spieler/413032,Ibrahima Diallo,4
/james-ward-prowse/profil/spieler/181579,James Ward-Prowse,2
